idno	author-short	title-short	identifier	author-name	wikidata-id	translation	num-authors	author-gender	author-nationality	author-birth-death	book-title	publ-first	publ-edition	publ-ref	publ-decade	publisher	series	collection	subgenre	type	ISBN	translator(s)	title-original	publ-original	references	text-length	language	size	timeSlot	reprintCount
Grisolia_Petite	Grisolia	Petite	Grisolia_Petite	Grisolia, Michel	https://www.wikidata.org/wiki/Q3309824	no	1.0	M			La petite amie du crime		1995		1990s	Le Masque		Romans d'aventures	policier	populaire	2-7024-2597-6					50394.0	fra	short	T0	unspecified
Halter_Mystere	Halter	Mystere	Halter_Mystere	Halter, Paul		no	1.0	M			Le Mystère de l'allée des Anges		1999		1990s	Le Masque		Romans d'aventures	policier	populaire	2-7024-2963-7					70030.0	fra	medium	T0	unspecified
Hill_Amour	Hill	Amour	Hill_Amour	Hill, Reginald		yes	1.0	M			Un amour d'enfant		1991		1990s	Le Masque		Romans d'aventures	policier	populaire	2-7024-2161-X	Coisne, Gérard				105069.0	fra	long	T0	unspecified
Japp_Bostonienne	Japp	Bostonienne	Japp_Bostonienne	Japp, Andrea H.	https://www.wikidata.org/wiki/Q2846340	no	1.0	F			La bostonienne		1991		1990s	Le Masque		Romans d'aventures	policier	populaire	2-7024-2134-2					52776.0	fra	medium	T0	unspecified
Japp_Chante	Japp	Chante	Japp_Chante	Japp, Andrea H.	https://www.wikidata.org/wiki/Q2846340	no	1.0	F			Elle qui chante quand la mort vient		1993		1990s	Le Masque		Romans d'aventures	policier	populaire	2-7024-2323-X					51380.0	fra	medium	T0	unspecified
Japp_Femelle	Japp	Femelle	Japp_Femelle	Japp, Andrea H.	https://www.wikidata.org/wiki/Q2846340	no	1.0	F			La femelle de l'espèce		1996		1990s	Le Masque		Romans d'aventures	policier	populaire	2-7024-2513-8					48075.0	fra	short	T0	unspecified
Japp_Petite	Japp	Petite	Japp_Petite	Japp, Andrea Philip		no	1.0	F			La petite au chien jaune		1993		1990s	Le Masque		Romans d'aventures	policier	populaire	2-7024-2418-X					45515.0	fra	short	T0	unspecified
Kassak_Peur	Kassak	Peur	Kassak_Peur	Kassak, Fred	https://www.wikidata.org/wiki/Q3086866	no	1.0	M	FRA		Qui a peur d'Ed Garpo?		1995		1990s	Le Masque		Romans d'aventures	policier	populaire	2-7024-2619-0					40980.0	fra	short	T0	unspecified
Kerr_Chambres	Kerr	Chambres	Kerr_Chambres	Kerr, Philip		yes	1.0	M	GBR		Chambres froides		1994		1990s	Le Masque		Romans d'aventures	policier	populaire	2-7024-2436-0	Kiéfé, Laurence		1992		93430.0	fra	medium	T0	unspecified
LaPlante_Suspect	LaPlante	Suspect	LaPlante_Suspect	La Plante, Lynda	https://www.wikidata.org/wiki/Q4018958	yes	1.0	F			Suspect numéro un		1995		1990s	Le Masque		Romans d'aventures	policier	populaire	2-7024-2624-7					88065.0	fra	medium	T0	unspecified
Lawrence_Jeux	Lawrence	Jeux	Lawrence_Jeux	Lawrence, Hilda	https://www.wikidata.org/wiki/Q16025078	yes	1.0	F			Jeux de mains		1994		1990s	Le Masque		Romans d'aventures	policier	populaire	2-7024-2464-3	Guilbot, Monique / Marquet, J.G.		1949		54656.0	fra	medium	T0	unspecified
Lebeau_Algebre	Lebeau	Algebre	Lebeau_Algebre	Lebeau, Guillaume	https://www.wikidata.org/wiki/Q3120027	no	1.0	M	FRA		L'Algèbre du besoin		1999		1990s	Le Masque		Romans d'aventures	policier	populaire	2-7024-2936-X					82322.0	fra	medium	T0	unspecified
Lemaire_Peur	Lemaire	Peur	Lemaire_Peur	Lemaire, Jean-Francois		no	1.0	M			Peur sur l'asile		1996		1990s	Le Masque		Romans d'aventures	policier	populaire	2-7024-2675-1					118061.0	fra	long	T0	unspecified
LeMarrec_Abus	LeMarrec	Abus	LeMarrec_Abus	Le Marrec, Philippe	https://www.wikidata.org/wiki/Q15970702	no	1.0	M			Tout abus sera puni		1993		1990s	Le Masque		Romans d'aventures	policier	populaire	2-7024-2340-X					37563.0	fra	short	T0	unspecified
Long_Aucun	Long	Aucun	Long_Aucun	Long, Manning	https://www.wikidata.org/wiki/Q16028176	yes	1.0	M			Aucun délai		1990		1990s	Le Masque		Romans d'aventures	policier	populaire	2-7024-2021-4	Grégoire, Catherine				50932.0	fra	medium	T0	unspecified
McDermid_Mauvais	McDermid	Mauvais	McDermid_Mauvais	McDermid, Val	https://www.wikidata.org/wiki/Q239911	yes	1.0	F			Mauvais signes		1998		1990s	Le Masque		Romans d'aventures	policier	populaire	2-7024-2879-7	Loubet, Pascal				92610.0	fra	medium	T0	unspecified
Menard_Derniere	Menard	Derniere	Menard_Derniere	Ménard, Emmanuel	https://www.wikidata.org/wiki/Q15970719	no	1.0	M			La dernière victime		1992		1990s	Le Masque		Romans d'aventures	policier	populaire	2-7024-2230-6					75168.0	fra	medium	T0	unspecified
Neely_Blanche	Neely	Blanche	Neely_Blanche	Neely, Barbara	https://www.wikidata.org/wiki/Q4859184	yes	1.0	F			Blanche et les seigneurs		1997		1990s	Le Masque		Romans d'aventures	policier	populaire	2-7024-2769-3	Vuarnesson, Florence				85469.0	fra	medium	T0	unspecified
Poslaniec_Fous	Poslaniec	Fous	Poslaniec_Fous	Poslaniec, Christian	https://www.wikidata.org/wiki/Q2965559	no	1.0	M			Les fous de Scarron		1990		1990s	Le Masque		Roman d'aventures	policier	populaire	2-7024-2062-1					46101.0	fra	short	T0	unspecified
Radley_Coups	Radley	Coups	Radley_Coups	Radley_Sheila		yes	1.0	F			À tous les coups l'on perd		1991		1990s	Le Masque		Romans d'aventures	policier	populaire	2-7024-2184-9	Alamagny, Jean-Michel				79469.0	fra	medium	T0	unspecified
Seigneur_Lapins	Seigneur	Lapins	Seigneur_Lapins	Seigneur, Olivier	https://www.wikidata.org/wiki/Q15970770	no	1.0	M			Des lapins et des hommes		1994		1990s	Le Masque		Romans d'aventures	policier	populaire	2-7024-2479-1					52867.0	fra	medium	T0	unspecified
Siniac_Aime	Siniac	Aime	Siniac_Aime	Siniac, Pierre	https://www.wikidata.org/wiki/Q3387010	no	1.0	M			Aime le maudit		1991		1990s	Le Masque		Romans d'aventures	policier	populaire	2-7024-3115-1					36096.0	fra	short	T0	unspecified
ThomasL_Crimes	ThomasL	Crimes	ThomasL_Crimes	Thomas, Louis C.		no	1.0	M			Crimes avec préméditation		1993		1990s	Le Masque		Romans d'aventures	policier	populaire	2-70-24-2380-9					57229.0	fra	medium	T0	unspecified
Wallace_Quatre	Wallace	Quatre	Wallace_Quatre	Wallace, Edgar	https://www.wikidata.org/wiki/Q271824	yes	1.0	M			Les quatre justiciers		1993		1990s	Le Masque		Romans d'aventures	policier	populaire	2-7024-2398-1					41994.0	fra	short	T0	unspecified
Zufferey_Etoile	Zufferey	Etoile	Zufferey_Etoile	Zufferey, Daniel	https://www.wikidata.org/wiki/Q3014843	no	1.0	M	CHE		L'étoile d'or		1998		1990s	Le Masque		Romans d'aventures	policier	populaire	2-7024-2855-X					127020.0	fra	long	T0	unspecified
