topic_no	test_statistic	p-value	topic_words
topic_21	13.629244812473953	5.833110240367479e-40	talolahti ça bureau fit petersen ordinateur degerman plus oddie déjà tueur mme lampinen turpin gizmo amburgey quelques passe riistala données 
topic_46	12.024882293219074	6.512884725921392e-32	grouchko je dis bemie ça keif plus train mec faire milioukine tête fit chiens pouvais vraiment chose mafia voiture air 
topic_00	10.212396050873222	5.633140555332157e-24	je dis puis demandai vers vis yeux lorsque tête pouvais porte entendis savais pris air main rien coup regardai sentais 
topic_43	9.696980452255453	1.4288884204313486e-21	wexford pascoe huby dalziel beaupré wield castagnac fit keech dearborn thackeray lomas goodenough watmough vollans demanda stick padgett vieille pontelli 
topic_26	9.643392008981818	1.845011296684612e-21	plus feu faire incendie nims lefleur radio mètres dessus corps tente entre près chose abri pouvait côté ça demanda quelqu 
topic_36	9.615317368456656	1.6272296964250658e-21	je non dire oui rien plus cette chose faire sais jamais quelque ça puis voir voulez crois pu femme parler 
topic_02	8.340958162895333	1.7242704872563037e-16	pendlebury wagstaffe inspecteur holt thurston monsieur oncle fayrer hobart répondit scranton fellowes townsend bingley strickland surintendant minnoch béthune turnbull noirot 
topic_30	8.279545459691096	2.800758309981073e-16	ça hungerford devarest faire holmes wiggins boyle whitewell dr cette bainbridge forstmann fit doyen cool framley lonsback vers dis demandai 
topic_04	8.229833013194725	3.017182407151227e-16	porte chambre je heures plus lit nuit heure après faire cette temps fenêtre chose personne quelque non soir aller chez 
topic_13	7.9922334860486615	2.6048518177441033e-15	gare train toke fit thomdyke ronsac quai cigare thorndyke wagon badger compartiment homme polton pendule assez dobey toutes cependant voyage 
topic_45	7.215901293110273	7.568927912620547e-13	faire bix après fit trevarrow mort packer mère plus voir père pendant dire lorsque famille pouvait mieux lorsqu docteur situation 
topic_16	7.15058287528811	1.2613864701129034e-12	todhunter tennison otley shefford norwood farroway chitterwick chef barleduc burkin fit montluçon demanda havers amson revolver madame hommes répondit dossier 
topic_49	6.554567349940991	6.775021202387887e-11	yeux main vers tête fit voix puis porte plus visage regard homme mains air devant prit derrière demanda contre regarda 
topic_41	5.448024572843495	5.6217936723740314e-08	père tante oncle famille frère mère enfant testament après femme mort cette jamais nom grand jeune parents vieille années burden 
topic_38	4.486429112125433	7.5806239174357054e-06	je lettre cette plus bureau enveloppe papier yard puis affaire inspecteur police livres scotland nom lettres londres quelques homme banque 
topic_48	2.821968815620146	0.004819431525402568	cribb thackeray mc innés vibart lieutenant dunoyau severn monk combat chips herriott agent piste feu hall jacobson chef trimbal autres 
topic_22	2.209426833646412	0.027248877873235416	thursday throgmorton haslett greening homme hedlam clapp tarrant gayleigh grilat gillespie mounier bureau café legge peyosi banks cope osborn hempstead 
topic_05	2.1570650790152204	0.031099130390047566	verre table café cuisine eau thé bouteille manger boire verres après dîner bencolin tasse plateau whisky déjeuner soir repas bière 
topic_10	2.085983431312167	0.0370821604301071	cabine bateau caldwell krantz mer pont bord howery badge shipka earnshaw nicholson toffy plus nalpas commandant passagers salon coursive burr 
topic_19	1.527073456339332	0.12687026638547666	merrivale bewlay masters colonel estivar brinkley march oui professeur ranch air cependant monsieur répondit ransom fit valenzuela commandant présent eh 
topic_34	1.0463039616699417	0.2955262121607981	eau sac jumeaux plus chien parc faisait cheveux petits entre drury plastique animal jours leurs puma photos trois cheval bout 
topic_06	0.9126791776090507	0.36150220058755966	noblet beecher fountain heap filby amberley ça gubbins tooley tabora curtebœuf commissaire fit dogtinder scales demanda garde cuisine manoir piaget 
topic_18	0.607755203923605	0.5434067634068667	cette plus pu crime faire mort après meurtre police affaire rien personne assassin cas non pouvait celui autres enquête aucun 
topic_01	0.0057466472964159574	0.9954153273514161	plus ça toujours jamais faire père chez temps cette dire après mère beaucoup chose rien pouvait savait faisait enfants voulait 
topic_33	-0.4440234086410972	0.6570684437849864	je inspecteur plus cette après homme oui monsieur heures puis non heure vers fit demanda répondit quelques temps jeune dire 
topic_08	-0.832013716529435	0.4054910963727619	voiture route plus vers chemin devant côté jusqu loin heure nuit quelques endroit après près minutes heures derrière faire temps 
topic_03	-0.9838513324541723	0.3252962513554023	step brandshaft hartford fit blackie cook ça avocat plessis ayres herrington gayleigh déclara bankhart patinay peveley weygand bureau sénateur tattleberry 
topic_35	-1.0246694279321011	0.30562977455746604	je ça faire plus non sais rien dire quoi jamais veux toujours temps dis faut chose peux oui voir coup 
topic_32	-1.3740671310354362	0.16955197163257915	jeune femme plus fille homme yeux cheveux cette visage air sourire regard vers toujours femmes jamais voix grand robe tête 
topic_27	-1.513284714950077	0.1303433635981397	porte plus cette murs devant fenêtres escalier côté fenêtre grand mur derrière entrée grande étage intérieur bois dessus quelques face 
topic_20	-1.7347229807615838	0.08292963981301307	téléphone je heures bureau numéro oui voix police chez porte allô appareil heure voiture gamadge raccrocha nom lorsque vers aveyard 
topic_17	-1.885976535782091	0.05951925529212959	fellows commissaire fille wilks parry plage moore femme heures bonetti photo ça morte pittsfield août garçon cette kirschner pilote rien 
topic_37	-2.027175755032014	0.042839821140735354	dab houghton école fredrika pascoe walters venner tosse docteur kilander lialena sansone lagervall ingun uno inspecteur homme estes potts fiches 
topic_44	-2.845814151713471	0.004496133548336107	mcfee dodd école nettleton mlle monsieur professeur détective fontannes santais élèves anglais portier directeur bordier chef français pemberly classe dortoir 
topic_29	-3.272597373982591	0.0010831820990816862	plus corps coup revolver main mort tête cadavre arme homme vers visage cette contre après puis bruit mains feu couteau 
topic_09	-4.632764271166986	3.811279261653377e-06	plus homme leurs bureau directeur hommes quatre autres rosbach grande fen casteljal société grand entre ministre chef affaire professeur pays 
topic_11	-5.444140793936065	6.187063900515459e-08	plus monsieur après mme cette commissaire fombieux client castelet heures sourlot rien ferrières crime heure non vassal enfin album chez 
topic_28	-5.906587205350628	4.690898549700584e-09	thanet madame pettifer club carmandine fauteuil lovestone solda vieille lineham brème procacci piano ça crime hanzard lafarge lacenaire troppmann vampire 
topic_24	-5.9763487806811275	3.1058393487495166e-09	commissaire monsieur inspecteur mme chaumet boisson fit lansing bousquet lettre détective madame maillard darrieu adair lebihan hôtel boulle avocat mosby 
topic_25	-6.304393404686257	4.0844381528133475e-10	je commissaire monsieur dancourt mme oui giraudas inspecteur dauvergne île café mémé soir vers heure regard nuit porte yeux koubbian 
topic_40	-7.469176933564669	1.2247532708343032e-13	je plus faire cette rien non vais dire sais veux quelques après oui doute crois jamais faut prendre temps mieux 
topic_39	-7.828042274359918	1.1811660755876608e-14	withers mme scène vialles théâtre inspecteur cochart dobie hôtel miloz nincom monestier jeune français grand demanda ducaux orchestre rôle studio 
topic_42	-8.057898651485903	1.4171734729981835e-15	cette plus voix nuit lherbier temps semblait puis yeux bruit toute silence quelque présent pouvait soudain chose toujours pourtant pluie 
topic_23	-8.333056119607676	2.398142115532166e-16	finch flaty eventreur powell hallward ça demanda femme celui bartlett whitechapel spencers chef macey village bingham purple policier street livres 
topic_31	-9.594080744509132	3.460403743616482e-21	plus après trois jour quelques jours rien heures lettres temps dix nom quoi quelque jamais cinq ça chose autres journal 
topic_14	-9.81622448810878	7.641245159222712e-22	plus tarchinini je canzo quelques delarue cette enfin jusqu peine commissaire presque agent ça hé cet quant oldham bellagio michaudon 
topic_07	-10.03101042797677	9.734837896039584e-23	campion piggot betts baumann steinemann pr plus yeux faraday thôffel horrocks fédéral lorsque monsieur père somerville madame suisse leurs banque 
topic_47	-10.11185203598371	4.997364099724223e-23	directeur monsieur plus regarde mugnier dulières oui parc président yeux vers pense coulon demande non rien sérigny jeune vient tête 
topic_12	-10.259017089497458	9.99720152348854e-24	dr docteur médecin gallois infirmière hôpital malade mort loureiro service plus quelques chef médecins autopsie coroner clinique inspecteur maladie malades 
topic_15	-14.064357101594242	1.4166320794437595e-42	femme cette plus fille jamais mère jour mme toujours pouvait jeune père pauvre rien mariage cœur toute seule vivre enfant 
