topic_no	test_statistic	p-value	topic_words
topic_36	20.738568367597754	8.01698267336516e-93	je non dire oui rien plus cette chose faire sais jamais quelque ça puis voir voulez crois pu femme parler 
topic_45	16.859674819440766	2.6014330039648496e-62	faire bix après fit trevarrow mort packer mère plus voir père pendant dire lorsque famille pouvait mieux lorsqu docteur situation 
topic_02	16.130035278324602	4.1661956446148955e-57	pendlebury wagstaffe inspecteur holt thurston monsieur oncle fayrer hobart répondit scranton fellowes townsend bingley strickland surintendant minnoch béthune turnbull noirot 
topic_30	16.1078309432925	5.738332430012967e-57	ça hungerford devarest faire holmes wiggins boyle whitewell dr cette bainbridge forstmann fit doyen cool framley lonsback vers dis demandai 
topic_41	15.142935958056796	4.8020771538615575e-51	père tante oncle famille frère mère enfant testament après femme mort cette jamais nom grand jeune parents vieille années burden 
topic_19	13.868195101170995	5.8463367756356946e-43	merrivale bewlay masters colonel estivar brinkley march oui professeur ranch air cependant monsieur répondit ransom fit valenzuela commandant présent eh 
topic_21	13.837670535369531	7.669986014352484e-43	talolahti ça bureau fit petersen ordinateur degerman plus oddie déjà tueur mme lampinen turpin gizmo amburgey quelques passe riistala données 
topic_38	13.029793697066477	2.076683552845652e-38	je lettre cette plus bureau enveloppe papier yard puis affaire inspecteur police livres scotland nom lettres londres quelques homme banque 
topic_22	12.762638623702195	9.706522127649505e-37	thursday throgmorton haslett greening homme hedlam clapp tarrant gayleigh grilat gillespie mounier bureau café legge peyosi banks cope osborn hempstead 
topic_04	12.128893431584418	1.571369666448111e-33	porte chambre je heures plus lit nuit heure après faire cette temps fenêtre chose personne quelque non soir aller chez 
topic_33	12.106295890695721	2.176895373826155e-33	je inspecteur plus cette après homme oui monsieur heures puis non heure vers fit demanda répondit quelques temps jeune dire 
topic_37	11.698884906149873	3.244402411469842e-31	dab houghton école fredrika pascoe walters venner tosse docteur kilander lialena sansone lagervall ingun uno inspecteur homme estes potts fiches 
