topic_no	test_statistic	p-value	topic_words
topic_00	9.26213637250517	1.3806499773587686e-19	je dis puis demandai vers vis yeux lorsque tête pouvais porte entendis savais pris air main rien coup regardai sentais 
topic_37	8.191164305684568	1.465048188702086e-15	dab houghton école fredrika pascoe walters venner tosse docteur kilander lialena sansone lagervall ingun uno inspecteur homme estes potts fiches 
topic_36	7.627533845831911	6.576909122991099e-14	je non dire oui rien plus cette chose faire sais jamais quelque ça puis voir voulez crois pu femme parler 
topic_19	7.5636950742631965	1.4013578402249336e-13	merrivale bewlay masters colonel estivar brinkley march oui professeur ranch air cependant monsieur répondit ransom fit valenzuela commandant présent eh 
topic_20	7.550740078291417	1.1084158298494142e-13	téléphone je heures bureau numéro oui voix police chez porte allô appareil heure voiture gamadge raccrocha nom lorsque vers aveyard 
topic_11	6.790631753178192	2.349074095927486e-11	plus monsieur après mme cette commissaire fombieux client castelet heures sourlot rien ferrières crime heure non vassal enfin album chez 
topic_21	6.698492969592295	4.611193147100863e-11	talolahti ça bureau fit petersen ordinateur degerman plus oddie déjà tueur mme lampinen turpin gizmo amburgey quelques passe riistala données 
topic_41	6.698296579670268	3.8380956011090964e-11	père tante oncle famille frère mère enfant testament après femme mort cette jamais nom grand jeune parents vieille années burden 
topic_22	6.102675178706727	1.829800510929057e-09	thursday throgmorton haslett greening homme hedlam clapp tarrant gayleigh grilat gillespie mounier bureau café legge peyosi banks cope osborn hempstead 
topic_17	6.09785568937933	1.768297556162193e-09	fellows commissaire fille wilks parry plage moore femme heures bonetti photo ça morte pittsfield août garçon cette kirschner pilote rien 
topic_38	6.067160051315648	1.8711228618787707e-09	je lettre cette plus bureau enveloppe papier yard puis affaire inspecteur police livres scotland nom lettres londres quelques homme banque 
topic_07	5.964091713401216	4.076779765543105e-09	campion piggot betts baumann steinemann pr plus yeux faraday thôffel horrocks fédéral lorsque monsieur père somerville madame suisse leurs banque 
topic_08	4.340180898431113	1.5848723669846986e-05	voiture route plus vers chemin devant côté jusqu loin heure nuit quelques endroit après près minutes heures derrière faire temps 
topic_33	2.9693180959597982	0.0030852801664898867	je inspecteur plus cette après homme oui monsieur heures puis non heure vers fit demanda répondit quelques temps jeune dire 
topic_26	2.959098760158093	0.00316248652772467	plus feu faire incendie nims lefleur radio mètres dessus corps tente entre près chose abri pouvait côté ça demanda quelqu 
topic_01	2.8102114909281632	0.005068100092857232	plus ça toujours jamais faire père chez temps cette dire après mère beaucoup chose rien pouvait savait faisait enfants voulait 
topic_04	1.9427603526144661	0.05240454317162266	porte chambre je heures plus lit nuit heure après faire cette temps fenêtre chose personne quelque non soir aller chez 
topic_34	1.6640015605375218	0.09643897277157046	eau sac jumeaux plus chien parc faisait cheveux petits entre drury plastique animal jours leurs puma photos trois cheval bout 
topic_18	1.4500805323866066	0.14751158998770603	cette plus pu crime faire mort après meurtre police affaire rien personne assassin cas non pouvait celui autres enquête aucun 
topic_16	1.3361295949452352	0.18186740478032173	todhunter tennison otley shefford norwood farroway chitterwick chef barleduc burkin fit montluçon demanda havers amson revolver madame hommes répondit dossier 
topic_45	1.2592648927111567	0.20828378062646394	faire bix après fit trevarrow mort packer mère plus voir père pendant dire lorsque famille pouvait mieux lorsqu docteur situation 
topic_29	0.8282810996530487	0.40775622849861815	plus corps coup revolver main mort tête cadavre arme homme vers visage cette contre après puis bruit mains feu couteau 
topic_02	0.8190999210645431	0.41293277428610875	pendlebury wagstaffe inspecteur holt thurston monsieur oncle fayrer hobart répondit scranton fellowes townsend bingley strickland surintendant minnoch béthune turnbull noirot 
topic_27	0.29645405616516896	0.7669747948444563	porte plus cette murs devant fenêtres escalier côté fenêtre grand mur derrière entrée grande étage intérieur bois dessus quelques face 
topic_13	0.2562254692881286	0.7978512183188744	gare train toke fit thomdyke ronsac quai cigare thorndyke wagon badger compartiment homme polton pendule assez dobey toutes cependant voyage 
topic_46	0.11157311141199036	0.9111860897950137	grouchko je dis bemie ça keif plus train mec faire milioukine tête fit chiens pouvais vraiment chose mafia voiture air 
topic_28	-0.13026011621892533	0.8964056117880744	thanet madame pettifer club carmandine fauteuil lovestone solda vieille lineham brème procacci piano ça crime hanzard lafarge lacenaire troppmann vampire 
topic_43	-0.30009749295907073	0.7642095254021835	wexford pascoe huby dalziel beaupré wield castagnac fit keech dearborn thackeray lomas goodenough watmough vollans demanda stick padgett vieille pontelli 
topic_48	-0.501232178535959	0.6164113917962453	cribb thackeray mc innés vibart lieutenant dunoyau severn monk combat chips herriott agent piste feu hall jacobson chef trimbal autres 
